itemset,length,support_count,support
минеральная вода,1,1788,0.23836822
макароны,1,1410,0.18797494
яйца,1,1348,0.17970937
картофель-фри,1,1282,0.17091055
шоколад,1,1229,0.16384482
зеленый чай,1,991,0.13211572
молоко,1,972,0.12958272
говяжий фарш,1,737,0.09825357
замороженные овощи,1,715,0.09532062
блинчики,1,713,0.09505399
гамбургер,1,654,0.08718837
торт,1,608,0.08105586
печенье,1,603,0.08038928
эскалоп,1,595,0.07932276
низкокалорийный йогурт,1,574,0.07652313
рис,1,570,0.07598987
креветки,1,536,0.07145714
помидоры,1,513,0.06839088
оливковое масло,1,494,0.06585789
замороженный смузи,1,475,0.06332489
индейка,1,469,0.06252500
макароны; минеральная вода,2,459,0.06119184
курица,1,450,0.05999200
минеральная вода; шоколад,2,395,0.05265965
тертый сыр,1,393,0.05239301
растительное масло,1,383,0.05105986
минеральная вода; яйца,2,382,0.05092654
суп,1,379,0.05052660
травы и перец,1,371,0.04946007
минеральная вода; молоко,2,360,0.04799360
мед,1,356,0.04746034
шампанское,1,351,0.04679376
свежий хлеб,1,323,0.04306093
лосось,1,319,0.04252766
говяжий фарш; минеральная вода,2,307,0.04092788
макароны; шоколад,2,306,0.04079456
говяжий фарш; макароны,2,302,0.04026130
макароны; яйца,2,290,0.03866151
макароны; молоко,2,277,0.03692841
картофель-фри; яйца,2,273,0.03639515
замороженные овощи; минеральная вода,2,268,0.03572857
картофель-фри; шоколад,2,258,0.03439541
пирожные,1,253,0.03372884
блинчики; минеральная вода,2,253,0.03372884
картофель-фри; минеральная вода,2,253,0.03372884
авокадо,1,250,0.03332889
шоколад; яйца,2,249,0.03319557
хот-дог,1,243,0.03239568
молоко; шоколад,2,241,0.03212905
творог,1,239,0.03186242
зеленый чай; минеральная вода,2,233,0.03106252
молоко; яйца,2,231,0.03079589
томатный сок,1,228,0.03039595
сливочное масло,1,226,0.03012932
картофель-фри; макароны,2,226,0.03012932
