antecedent,consequent,total_length,support_count,support,confidence
макароны,минеральная вода,2,459,0.06119184,0.32553191
шоколад,минеральная вода,2,395,0.05265965,0.32139951
молоко,минеральная вода,2,360,0.04799360,0.37037037
говяжий фарш,минеральная вода,2,307,0.04092788,0.41655360
говяжий фарш,макароны,2,302,0.04026130,0.40976934
замороженные овощи,минеральная вода,2,268,0.03572857,0.37482517
блинчики,минеральная вода,2,253,0.03372884,0.35483871
гамбургер,яйца,2,216,0.02879616,0.33027523
оливковое масло,минеральная вода,2,207,0.02759632,0.41902834
торт,минеральная вода,2,206,0.02746300,0.33881579
рис,минеральная вода,2,205,0.02732969,0.35964912
креветки,макароны,2,189,0.02519664,0.35261194
помидоры,минеральная вода,2,183,0.02439675,0.35672515
низкокалорийный йогурт,минеральная вода,2,180,0.02399680,0.31358885
оливковое масло,макароны,2,178,0.02373017,0.36032389
креветки,минеральная вода,2,177,0.02359685,0.33022388
суп,минеральная вода,2,173,0.02306359,0.45646438
курица,минеральная вода,2,171,0.02279696,0.38000000
помидоры,макароны,2,162,0.02159712,0.31578947
замороженный смузи,минеральная вода,2,152,0.02026396,0.32000000
растительное масло,минеральная вода,2,151,0.02013065,0.39425587
индейка,яйца,2,146,0.01946407,0.31130064
индейка,минеральная вода,2,144,0.01919744,0.30703625
тертый сыр,минеральная вода,2,131,0.01746434,0.33333333
тертый сыр,макароны,2,130,0.01733102,0.33078880
говяжий фарш; макароны,минеральная вода,3,129,0.01719771,0.42715232
говяжий фарш; минеральная вода,макароны,3,129,0.01719771,0.42019544
лосось,минеральная вода,2,128,0.01706439,0.40125392
травы и перец,минеральная вода,2,128,0.01706439,0.34501348
макароны; шоколад,минеральная вода,3,123,0.01639781,0.40196078
травы и перец,макароны,2,123,0.01639781,0.33153639
растительное масло,макароны,2,123,0.01639781,0.32114883
минеральная вода; шоколад,макароны,3,123,0.01639781,0.31139241
макароны; молоко,минеральная вода,3,121,0.01613118,0.43682310
минеральная вода; молоко,макароны,3,121,0.01613118,0.33611111
травы и перец,говяжий фарш,2,120,0.01599787,0.32345013
макароны; яйца,минеральная вода,3,114,0.01519797,0.39310345
суп,молоко,2,114,0.01519797,0.30079156
мед,минеральная вода,2,113,0.01506466,0.31741573
молоко; шоколад,минеральная вода,3,105,0.01399813,0.43568465
лосось,макароны,2,103,0.01373150,0.32288401
шоколад; яйца,минеральная вода,3,101,0.01346487,0.40562249
свежий хлеб,минеральная вода,2,100,0.01333156,0.30959752
молоко; яйца,минеральная вода,3,98,0.01306492,0.42424242
замороженные овощи; макароны,минеральная вода,3,92,0.01226503,0.43396226
замороженные овощи; минеральная вода,макароны,3,92,0.01226503,0.34328358
блинчики; макароны,минеральная вода,3,88,0.01173177,0.45833333
блинчики; минеральная вода,макароны,3,88,0.01173177,0.34782609
авокадо,минеральная вода,2,87,0.01159845,0.34800000
молоко; шоколад,макароны,3,84,0.01119851,0.34854772
макароны; молоко,шоколад,3,84,0.01119851,0.30324910
говяжий фарш; молоко,минеральная вода,3,83,0.01106519,0.50303030
замороженные овощи; молоко,минеральная вода,3,83,0.01106519,0.46892655
замороженные овощи; минеральная вода,молоко,3,83,0.01106519,0.30970149
говяжий фарш; шоколад,минеральная вода,3,82,0.01093188,0.47398844
красное вино,минеральная вода,2,82,0.01093188,0.38862559
шоколад; яйца,макароны,3,82,0.01093188,0.32931727
макароны; оливковое масло,минеральная вода,3,80,0.01066524,0.44943820
минеральная вода; оливковое масло,макароны,3,80,0.01066524,0.38647343
перец,макароны,2,78,0.01039861,0.39195980
красное вино,макароны,2,78,0.01039861,0.36966825
картофель-фри; макароны,минеральная вода,3,78,0.01039861,0.34513274
картофель-фри; минеральная вода,макароны,3,78,0.01039861,0.30830040
хлопья,минеральная вода,2,77,0.01026530,0.39896373
говяжий фарш; яйца,минеральная вода,3,76,0.01013198,0.50666667
